wordform	lemma_gold	lemma_freel	match	pos_gold	pos_freel	match	tag_gold	tag_freel	tag_original	match	0m	0m_match	gen	gen_match	dat	dat_match	acc	acc_match	ins	ins_match	loc	loc_match	voc	voc_match	sg	sg_match	pl	pl_match	f	f_match	m	m_match	n	n_match	m-f	m-f_match	indic	indic_match	imper	imper_match	inf	inf_match	ger	ger_match	praes	praes_match	praet	praet_match	1p	1p_match	2p	2p_match	3p	3p_match	pf	pf_match	ipf	ipf_match	inf	inf_match	act	act_match	pass	pass_match	brev	brev_match	plen	plen_match	supr	supr_match	comp	comp_match
Гост`иницы	гостиница	гостиница	1	S	S	1	S,f,pl,0m	S,gen,sg,f	NCGSFI0000	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
С	с	с	1	PR	PR	1	PR	PR	B0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
ум`а	ум	ум	1	S	S	1	S,m,sg,gen	S,gen,sg,m	NCGSMI0000	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
сойт`и	сойти	сходить	0	V	V	1	V,pf,inf	V,inf,pf	VI0000F0A00	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1
В	в	в	1	PR	PR	1	PR	PR	B0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
гост`инице	гостиница	гостиница	1	S	S	1	S,f,sg,loc	S,loc,sg,f	NCOSFI0000	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
где	где	где	1	ADV-PRO	ADV-PRO	1	ADV-PRO	ADV-PRO	P0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
всё	всё	всё	1	S-PRO	S	0	S-PRO,n,sg,0m	S,0m,sg,n	NCNSAI0000	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
для	для	для	1	PR	PR	1	PR	PR	B0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
кли`ента	клиент	клиента	0	S	S	1	S,m,sg,gen	S,gen,sg,m	NCGSMA0000	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
Хорош`о	хорошо	хорошо	1	ADV	ADV	1	ADV	ADV	D0P0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
